name;dtype;used
add_ts;categorical;False
hemnet_ts;categorical;False
property_id;categorical;False
sold_property_id;categorical;False
sold_at_date;timestamp;False
property_type;categorical;False
ownership_type;categorical;False
country;categorical;False
region;categorical;False
urban_area;categorical;False
municipality;categorical;True
location;categorical;False
city;categorical;True
district;categorical;True
neighborhood;categorical;True
address;categorical;False
street;categorical;True
start_price;continuous;False
end_price;continuous;False
price_sqm;continuous;False
rums;continuous;True
area;continuous;True
utils;continuous;True
build_year;continuous;False
broker_full_name;categorical;False
broker_agency_id;categorical;True
broker_agency;categorical;True
broker_phone;categorical;False
broker_email;categorical;False
url;categorical;False